team,nationality
NUS TRAIL RUNNING,2
NUTS - NORTHERN ULTRA TRAIL SERVICE,1
NUUN,1
New Balance,1
O.C.S/PROAVENTURAS,2
O.Y.KΡHTHS -ROUT AMBASSADOR,1
OC GIF,1
OCT 55,1
OHTA RUNNING CLUB,1
OLD BIRD,1
OLD BIRDS,1
OLPHYOUGO,1
OLYMPIQUE CLUB CESSONNAIS DE NATATION,1
OME TRAIL RUNNING CLUB,1
ORALKLASS - AMIGOS DO TRAIL,1
ORANGE POLSKA,3
ORIGIN CAMPERVANS,1
OS FINOS,1
OTC COMO,2
OVERSTIM'S ASIA,1
OXSITIS / ODLO,1
OXUBII / N.E.M TRAINING,1
OXYGEN3,1
OXYGENE,1
OXYGENE BELBEUF,1
OYAMA CLUB,1
P-WEG-TEAM,1
PAC MAC,1
PAC-MAC PLOUZANE (29),1
PAM MONDOVI,1
PAPELO,1
PARCO RUNNERS,1
PAULUZAK,1
PEDALA.CAT,2
PEDREZUELA,1
PEDREZUELA HAGLOFS,1
PEELRUNNERS HORST,1
PELICAN ROUGE  Coffee Roasters,1
PENA GUARA,1
PENYA RIBES,1
PICOS XTREME SPORT,1
PIERREVAL,1
PLOUGASTEL SPORT NATURE,1
PLUS ULTRA,1
PLYMOUTH COASTAL RUNNERS,1
POLISPORTIVA SAT ORSO,1
POMPIER DE MEAUX,1
POPOLO AC,1
POSITIVE ENERGY,1
PRO SAN PIETRO SANREMO,1
PROAVENTURAS,1
PROFEET,1
PSY GOŃCZE,1
PSZCZYNA BIEGA,1
PUPILOS TRAIL TEAM/MAGIC RUNNERS/ENTERPROM- BRINDES PROMOCIONAIS,1
PURETRAIL RUNNING,1
Paredes Aventura,2
Petzl,1
Philippine Association Of Ultrarunners,1
Pour les Yeux de Léonie,1
Pyllon STRATHAVEN STRIDERS,1
QINGMEI CLUB,1
QUAN^2,2
R&amp;F; - RUN &amp; FUN,1
RAACE,1
RACING CLUB D'ARRAS,1
RAID LIGHT TEAM,1
RAIDLIGHT,1
RATOWNIK GORNICZY NSP,1
RBC RUNNERS,1
RCDC COUBLANC,1
RED DEER RUNNERS,1
REDEG 29 INTERSPORT MORLAIX,1
RIMINI MARATHON,1
RISKA TRAIL RUNNERS,1
RO CLUB MARATON,1
ROCCOTEAM,1
ROCKY,2
RODOPI BEARS,1
ROODINHAS-SANTOS SILVA / OXYGEN-GYM &amp; FITNESS,1
RRC RUN CLUB,1
RRUN LYON - TRAILEURS DES MONTS D'OR,1
RTT 74,1
"RTT 74 "" Les Pas De Lilou """,1
RUGBY &amp; NORTHAMPTON AC,2
RUN ODYSSEA,1
RUN THE ALPS,1
RUN TKO,1
RUN YOUR HERO,1
RUNCERCLAT,1
RUNNER'S HIGH CLUB,2
RUNNERS BERGAMO-GAN,1
RUNNERS CLINIC,1
RUNNERS ROOST,1
RUNNERS VALBOSSA AZZATE - SOJO VASARO TRAIL TEAM,1
RUNNING CLUB ARPAJON,1
"RUNNING CLUB ARPAJON,TEAM UTPMA",1
RUNNING CONSEIL BEZIERS,1
RUNNING PLANET GENEVE,1
RWB,1
Run free - Run wild,1
S.M. CLUB DE CORRER LA RABOSA,1
S/L ATHLETIC CLUB ANGERIEN,1
S/L CO SAINT-DIZIER,1
S/L NOGENT SUR OISE ATHLETISME,1
SA MILANA,1
SAINT CHAMOND TRIATHLON,1
SAINT GELY ATHLETISME,1
SALAMANCA RAIDS&amp;TRAIL;,1
SALEVE TRAIL,2
SALOMON,2
SALOMON TURKEY,1
SALOMON-SUUNTO PHILIPPINES,1
SALTA BARTAS,2
SALTABALATES,1
SAMBA TRAIL RUNNING CLUB,3
SAMOENS TRAIL TEAM,1
